Year,StackCategory,Count
2015,Deep Learning,1
2015,EDA/Visualization,3
2015,Machine Learning,2
2015,Other,43544
2015,R-Based,1
2016,Deep Learning,7
2016,EDA/Visualization,22
2016,Machine Learning,66
2016,Other,44866
2016,R-Based,1
2017,Deep Learning,8
2017,EDA/Visualization,52
2017,Machine Learning,44
2017,Other,10107
2018,Deep Learning,132
2018,EDA/Visualization,889
2018,Machine Learning,180
2018,Other,9868
2019,Deep Learning,863
2019,EDA/Visualization,1896
2019,Machine Learning,692
2019,Other,17864
2019,R-Based,14
2020,Deep Learning,261
2020,EDA/Visualization,177
2020,Machine Learning,249
2020,Other,27815
2020,R-Based,39
2021,Deep Learning,86
2021,EDA/Visualization,37
2021,Machine Learning,91
2021,Other,23685
2021,R-Based,9
2022,Machine Learning,2
2022,Other,1108
